2024-07-25 01:11:05.418 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:11:09.581 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.534 seconds (process running for 4.981)
2024-07-25 01:13:17.557 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2872 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:13:17.557 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:13:17.558 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:13:21.874 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.663 seconds (process running for 5.117)
2024-07-25 01:15:32.238 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2879 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:15:32.238 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:15:32.239 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:15:37.128 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 5.129 seconds (process running for 5.646)
2024-07-25 01:21:55.973 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2908 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:21:55.973 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:21:55.973 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:22:00.217 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.676 seconds (process running for 5.125)
2024-07-25 01:22:19.258 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 2913 (/Users/zaras/Desktop/Final_Project/target/classes started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:22:19.258 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:22:19.258 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:22:20.560 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 01:22:23.587 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Started FinalProjectApplication in 4.608 seconds (process running for 4.797)
2024-07-25 01:22:46.861 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  Starting user registration process for email: strin2g
2024-07-25 01:22:46.861 | http-nio-8080-exec-5      | INFO  | com.example.final_project.service.UserService                           -  Starting registration for user with email: strin2g
2024-07-25 01:22:46.983 | http-nio-8080-exec-5      | INFO  | com.example.final_project.service.UserService                           -  User object created for email: strin2g
2024-07-25 01:22:47.007 | http-nio-8080-exec-5      | INFO  | com.example.final_project.service.UserService                           -  User with email: strin2g successfully saved to the database.
2024-07-25 01:22:47.010 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  User registered successfully with email: strin2g
2024-07-25 01:22:47.017 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  Generated access token for user with email: strin2g
2024-07-25 01:22:47.018 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  Generated refresh token for user with email: strin2g
2024-07-25 01:22:47.018 | http-nio-8080-exec-5      | INFO  | com.example.final_project.service.UserService                           -  Set refreshToken to user with email: strin2g
2024-07-25 01:22:47.031 | http-nio-8080-exec-5      | INFO  | com.example.final_project.service.UserService                           -  RefreshToken for User with email: strin2g successfully saved to the database.
2024-07-25 01:22:47.031 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  Set refresh token for user with email: strin2g
2024-07-25 01:22:47.031 | http-nio-8080-exec-5      | INFO  | com.example.final_project.security.service.AuthService                  -  User registration and token generation process completed successfully for email: strin2g
2024-07-25 01:23:10.590 | http-nio-8080-exec-6      | INFO  | com.example.final_project.aspect.LoggingAspect                          - CONTROLLER_IN{CONTROLLER_METHOD=insertCategory} args=[CategoryRequestDto(name=stri123123123123ng)];
2024-07-25 01:23:10.598 | http-nio-8080-exec-6      | INFO  | com.example.final_project.aspect.LoggingAspect                          - CONTROLLER_OUT{CONTROLLER_METHOD=insertCategory}{CONTROLLER_TIME=6} args=[CategoryRequestDto(name=stri123123123123ng)]; RESULT: [CategoryResponseDto(categoryId=12, name=stri123123123123ng)]
2024-07-25 01:23:17.153 | http-nio-8080-exec-7      | INFO  | com.example.final_project.aspect.LoggingAspect                          - CONTROLLER_IN{CONTROLLER_METHOD=getCategory} args=[];
2024-07-25 01:23:17.158 | http-nio-8080-exec-7      | INFO  | com.example.final_project.aspect.LoggingAspect                          - CONTROLLER_OUT{CONTROLLER_METHOD=getCategory}{CONTROLLER_TIME=5} args=[]; RESULT: [RESULT_SIZE=11 [CategoryResponseDto(categoryId=1, name=Garden Furniture), CategoryResponseDto(categoryId=2, name=Fertilizer), CategoryResponseDto(categoryId=3, name=Protective products and septic tanks), CategoryResponseDto(categoryId=4, name=Fences and Gates), CategoryResponseDto(categoryId=5, name=Planting materia), CategoryResponseDto(categoryId=6, name=Garden Lighting), CategoryResponseDto(categoryId=7, name=BBQs and Grills), CategoryResponseDto(categoryId=8, name=Tools and equipment), CategoryResponseDto(categoryId=9, name=Garden Decor), CategoryResponseDto(categoryId=10, name=string2), CategoryResponseDto(categoryId=12, name=stri123123123123ng)]]
2024-07-25 01:28:30.482 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2928 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:28:30.483 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:28:30.483 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:28:35.119 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.983 seconds (process running for 5.428)
2024-07-25 01:28:43.567 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2943 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:28:43.567 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:28:43.567 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:28:48.000 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.653 seconds (process running for 5.123)
2024-07-25 01:28:59.117 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2950 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:28:59.117 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:28:59.118 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:29:03.475 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.581 seconds (process running for 5.076)
2024-07-25 01:29:20.361 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2957 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:29:20.361 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:29:20.361 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:29:24.680 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.547 seconds (process running for 5.017)
2024-07-25 01:29:44.724 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2964 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:29:44.724 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:29:44.724 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:29:49.410 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.914 seconds (process running for 5.387)
2024-07-25 01:30:26.803 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2972 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:30:26.804 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:30:26.804 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:30:31.489 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.922 seconds (process running for 5.443)
2024-07-25 01:30:47.923 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2979 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:30:47.924 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:30:47.924 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:30:52.673 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 5.002 seconds (process running for 5.533)
