2024-07-20 21:00:44.158 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Started FinalProjectApplication in 4.986 seconds (process running for 5.226)
2024-07-20 21:01:28.375 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6257 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:01:28.376 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:01:28.376 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:01:29.750 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:01:49.566 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6262 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:01:49.567 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:01:49.568 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:01:50.916 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:01:54.047 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Started FinalProjectApplication in 4.853 seconds (process running for 5.103)
2024-07-20 21:03:18.613 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6270 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:03:18.615 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:03:18.615 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:03:19.995 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:03:23.253 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Started FinalProjectApplication in 5.013 seconds (process running for 5.325)
2024-07-20 21:03:38.447 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6284 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:03:38.448 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:03:38.449 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:03:39.779 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:03:57.372 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6298 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:03:57.373 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:03:57.374 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
